#Command: python3 Fitness_Esimation.py demodata/out/H37Rv_expected_counts.csv demodata/H37Rv/H37RvBD1.prot_table demodata/out/H37Rv_gumbel_gene_predictions.csv
#Gumbel/Bernoulli Calls: Calls from the Gumbel Analysis. Genes found to be significant through Bernoulli when all sites have 0 insertions are labeled EB
#Significant size n for genes lacking insertion: 1.616911723671773
#HMM States: HMM+NP model trained on data
#Gene+TTN States: Genes labeled E by the Gumbel are determined to be ES and those labeled EB by Gumbel are determined to be ESB
#Gene+TTN Summary: 315ES 54ESB 731GD 1036GA 1845NE
ORF ID,Name,Description,Total # TA Sites,#Sites with insertions,Used in Models,Gene (M0) Coef,Gene (M0) Adj Pval,Gene+TTN (M1) Coef,Gene+TTN (M1) Adj Pval,M0 Fitness Estimation,M1 Fitness Estimation,Mean Actual Count,TTN-Fitness Assesment
Rv0011c,-,putative septation inhibitor protein ,3,3,True,-0.7288426042989311,0.15330779243498271,-1.065336429098619,0.0007048591441053829,-0.27043824478472156,-0.27043824478472156,10.4,GD
Rv0012,-,PROBABLE CONSERVED MEMBRANE PROTEIN ,17,17,True,0.251089837485398,0.248702525604497,0.18353344348643902,0.187509112061457,-0.4269795535141383,-0.4269795535141383,153.82352941176472,NE
Rv0013,trpG,para-aminobenzoate synthase component II ,14,1,False,,,,,,,0.4642857142857143,ES
Rv0014c,pknB,TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B) ,25,4,False,,,,,,,7.9,ES
Rv0015c,pknA,TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A) ,16,4,False,,,,,,,4.5125,ES
Rv0016c,pbpA,PROBABLE PENICILLIN-BINDING PROTEIN PBPA ,36,34,True,-0.398492263375111,0.0036183951371345055,-0.3125499160478692,0.0005685295573516464,,,30.855555555555554,GD
Rv0017c,rodA,PROBABLE CELL DIVISION PROTEIN RODA ,27,27,True,0.1506669264586842,0.39324316655969954,0.060696051112437865,0.6115886697020628,-0.2911317860409413,-0.2911317860409413,89.0777777777778,NE
Rv0018c,ppp,POSSIBLE SERINE/THREONINE PHOSPHATASE PPP ,25,15,False,,,,,,,46.708,ES
Rv0019c,-,hypothetical protein Rv0019c ,13,13,True,0.07890315044080196,0.7725385765577298,-0.15788601804693148,0.3324792682341161,,,57.02307692307693,NE
Rv0020c,TB39.8,hypothetical protein Rv0020c ,52,11,True,-1.4624119732467638,1.1424597309646684e-48,-1.265698242468469,1.4261379592571392e-74,,,20.417307692307695,GD
Rv0021c,-,hypothetical protein Rv0021c ,23,23,True,0.4727586470763293,0.006112869363671452,0.5421214061866757,8.880473516656623e-07,-0.2558748880463415,-0.2558748880463415,173.41739130434783,GA
Rv0022c,whiB5,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB5 ,8,8,True,0.2829514792557497,0.3805506718179119,0.3150459837342672,0.11783896613690951,-0.42004922187322813,-0.42004922187322813,163.0125,NE
Rv0023,-,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN ,12,9,True,-1.4632418896183992,1.1494855131311987e-11,-1.3947393490998263,1.6421532897947647e-21,-0.29823658050076335,-0.29823658050076335,1.2333333333333336,GD
Rv0024,-,PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN ,13,13,True,0.07822002308408306,0.7747322396419165,0.2432004426419588,0.12353639108769725,-0.38020263054100417,-0.38020263054100417,92.36923076923077,NE
Rv0025,-,hypothetical protein Rv0025 ,8,8,True,0.3181074536467768,0.319543845761249,0.4080005742953169,0.03993734888442815,-0.10322167094666528,-0.10322167094666528,85.275,GA
Rv0026,-,hypothetical protein Rv0026 ,15,13,True,0.1317482098938255,0.5923047809634797,0.028368445547757595,0.8671115981632189,-0.4386600749844326,-0.4386600749844326,119.72,NE
Rv0027,-,hypothetical protein Rv0027 ,5,5,True,-0.029864998089680572,0.9497507818115904,-0.16603888592448499,0.5423432008322165,-0.22088869127390146,-0.22088869127390146,49.72,NE
Rv0028,-,hypothetical protein Rv0028 ,5,5,True,0.2769853048331861,0.507943035835487,0.1511044145170238,0.5824947830376477,-0.4465850246676412,-0.4465850246676412,170.89999999999998,NE
Rv0029,-,hypothetical protein Rv0029 ,19,19,True,0.2611690995210476,0.2022027706900976,0.28424273148230045,0.026790000547236185,-0.349307312771365,-0.349307312771365,131.67894736842103,GA
Rv0030,-,hypothetical protein Rv0030 ,5,5,True,0.06777303763034788,0.8825710840315365,0.04542720484594282,0.8776841265237268,-0.39271404213336675,-0.39271404213336675,92.78,NE
Rv0031,-,POSSIBLE REMNANT OF A TRANSPOSASE ,1,1,True,-0.4673873163186281,0.6226462723851348,0.45865011874630274,0.44189929239430303,4.0598186341891487e-14,4.0598186341891487e-14,10.6,NE
Rv0032,bioF2,POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE) ,56,47,True,-0.08515045379132065,0.49485188297783006,-0.22833670944775383,0.0018356896047878944,-0.6573615852996476,-0.6573615852996476,119.325,GD
Rv0033,acpA,PROBABLE ACYL CARRIER PROTEIN ACPA (ACP) ,4,4,True,0.7353776544796804,0.09244079306324439,0.4262205654418446,0.13470414570071354,-0.05682221827796044,-0.05682221827796044,201.22499999999997,NE
Rv0034,-,hypothetical protein Rv0034 ,5,5,True,0.32287909636075923,0.43517555578013706,0.40128944006422457,0.11572748291268964,-0.3132244266685229,-0.3132244266685229,139.83999999999997,NE
Rv0035,fadD34,PROBABLE FATTY-ACID-CoA LIGASE FADD34 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) ,25,24,True,0.3657931861764175,0.030764597039313425,0.38175462823561007,0.00044236895255887456,-0.3622639086988222,-0.3622639086988222,172.93600000000004,GA
Rv0036c,-,hypothetical protein Rv0036c ,4,4,True,0.589900254435122,0.1847813180015063,0.5438738449042985,0.053438312730008784,-0.09027882423484401,-0.09027882423484401,155.3,NE
Rv0037c,-,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN ,21,20,True,0.31144053754022444,0.10383117674261257,0.37121551483822435,0.0018877876689607522,-0.43177340079433935,-0.43177340079433935,178.9190476190476,GA
Rv0038,-,hypothetical protein Rv0038 ,8,8,True,0.5718026482327214,0.05967226470242033,0.2689273240005064,0.18499486190471873,-0.19816945793485405,-0.19816945793485405,190.93750000000003,NE
Rv0039c,-,POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN ,4,4,True,0.3086021728092462,0.5097957768189066,0.36370922878835166,0.2062195516321784,-0.28449615341626017,-0.28449615341626017,126.625,NE
Rv0040c,mtc28,SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN) ,10,10,True,0.44084919807713346,0.1121782916072416,0.4171658167745508,0.01781680875481627,-0.24287834606780195,-0.24287834606780195,156.32,GA
Rv0041,leuS,leucyl-tRNA synthetase ,73,3,True,-1.7668071303755324,2.831869765115126e-99,-1.8395462319038898,1.9250484202544138e-219,,,3.0589041095890415,GD
Rv0042c,-,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY) ,5,5,True,0.21072742998683147,0.6202497493540083,0.027602683133532334,0.9281941390554299,-0.09996747818481315,-0.09996747818481315,65.96000000000001,NE
Rv0043c,-,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) ,11,11,True,0.17543435074180902,0.5347611444984774,0.10817117235281846,0.5580180915365623,-0.24714104815135485,-0.24714104815135485,85.27272727272727,NE
Rv0044c,-,POSSIBLE OXIDOREDUCTASE ,20,19,True,0.10464731846710261,0.6223311338914198,0.2290715528185082,0.06980137440703167,-0.41190785833168825,-0.41190785833168825,105.67999999999999,NE
Rv0045c,-,POSSIBLE HYDROLASE ,7,7,True,0.5326846129244165,0.10830323345156007,0.46982560424446357,0.0261862915181823,-0.26237730097803696,-0.26237730097803696,202.21428571428572,GA
Rv0046c,ino1,MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 (Inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (Glucose 6-phosphate cyclase) (Glucocycloaldolase) ,17,2,False,,,,,,,0.8705882352941177,ES
Rv0047c,-,hypothetical protein Rv0047c ,8,8,True,0.42266004945709695,0.1785241233026127,0.303135383799877,0.13267101694712305,-0.38849637313702545,-0.38849637313702545,209.57500000000002,NE
Rv0048c,-,POSSIBLE MEMBRANE PROTEIN ,16,16,True,0.4206017812107151,0.04909491320323896,0.2714375492078207,0.05392940168349465,-0.48692719831167897,-0.48692719831167897,261.6375,NE
Rv0049,-,hypothetical protein Rv0049 ,9,9,True,0.32661428312921065,0.27654525235936567,0.18814388179691405,0.3372981641436607,-0.268355518142845,-0.268355518142845,127.2111111111111,NE
Rv0050,ponA1,PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1): PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE) ,37,35,True,-0.2694248039763833,0.0562001647968244,-0.3516667584522096,7.291164759965121e-05,-0.25891283095909806,-0.25891283095909806,30.875675675675673,GD
Rv0051,-,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN ,34,33,True,-0.05263431971435196,0.7559753368622762,-0.16396702716520514,0.09252310970430742,-0.4470488440471693,-0.4470488440471693,79.34705882352942,NE
Rv0052,-,hypothetical protein Rv0052 ,7,7,True,0.4965901492456385,0.13647084192125203,0.484185172355549,0.02173937621448267,-0.3393508616916,-0.3393508616916,222.08571428571426,GA
Rv0053,rpsF,30S ribosomal protein S6 ,8,4,True,-1.2958895671807424,2.130088270279427e-06,-1.5292542532302933,2.1877798896620005e-17,,,10.037499999999998,GD
Rv0054,ssb,single-strand DNA-binding protein ,5,0,False,,,,,,,0.0,ESB
Rv0055,rpsR,30S ribosomal protein S18 ,5,2,True,-1.2748543525779092,0.00036949821377100644,-1.5177652651837747,5.5720712051738926e-11,,,24.740000000000002,GD
Rv0056,rplI,50S ribosomal protein L9 ,8,8,True,0.05128570548400658,0.8876644640153346,0.18257353105989618,0.3831431289126924,-0.24431681498799582,-0.24431681498799582,63.4375,NE
Rv0057,-,hypothetical protein Rv0057 ,15,15,True,-0.1535713548953076,0.5259556029149228,-0.14445192534639498,0.3418008919851037,-0.32311600720470135,-0.32311600720470135,47.059999999999995,NE
Rv0058,dnaB,replicative DNA helicase ,39,4,False,,,,,,,0.046153846153846156,ES
Rv0059,-,hypothetical protein Rv0059 ,21,21,True,0.7287926767335431,1.9875411829059355e-05,0.35154294972224176,0.003425505003088141,-0.17872364499663182,-0.17872364499663182,262.4095238095238,GA
Rv0060,-,hypothetical protein Rv0060 ,24,8,False,,,,,,,30.254166666666666,ES
Rv0061,-,hypothetical protein Rv0061 ,6,6,True,0.21986233246358977,0.5680429765175022,0.2959653141818688,0.20868405975807797,-0.18288964429535576,-0.18288964429535576,81.55,NE
Rv0062,celA1,"POSSIBLE CELLULASE CELA1 (ENDOGLUCANASE) (ENDO-1,4-BETA-GLUCANASE) (FI-CMCASE) (CARBOXYMETHYL CELLULASE) ",23,23,True,0.34776677696783515,0.05148295854543134,0.18436845818254538,0.12135163851154984,-0.2066923605590324,-0.2066923605590324,115.9217391304348,NE
Rv0063,-,POSSIBLE OXIDOREDUCTASE ,24,23,True,0.28175713478807723,0.11614465138567687,-0.08023368298409408,0.5171528804439575,-0.25881545092335617,-0.25881545092335617,112.14583333333333,NE
Rv0064,-,hypothetical protein Rv0064 ,69,67,True,-0.13501542718373855,0.20976512568954497,-0.15927446541308687,0.017659140100303686,-0.34068611010270844,-0.34068611010270844,51.189855072463764,GD
Rv0065,-,hypothetical protein Rv0065 ,8,7,True,0.10513871286732206,0.7630236002365345,0.008896932941871114,0.9725861541087588,-0.41746049722933304,-0.41746049722933304,107.16250000000001,NE
Rv0066c,icd2,PROBABLE ISOCITRATE DEHYDROGENASE ,38,33,True,-0.38662028468328835,0.0037387255557338175,-0.4348036902916375,3.867628000617462e-07,-0.480443438570137,-0.480443438570137,38.90263157894737,GD
Rv0067c,-,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) ,12,12,True,-0.14140889480383767,0.60725546766813,-0.2465058819814679,0.13432990412203802,-0.16167164681848792,-0.16167164681848792,33.391666666666666,NE
Rv0068,-,short chain dehydrogenase ,12,12,True,0.13610010390609048,0.6202497493540083,0.05522454596358998,0.7633175050146682,-0.5085840107791098,-0.5085840107791098,142.06666666666666,NE
Rv0069c,sdaA,PROBABLE L-SERINE DEHYDRATASE SDAA (L-SERINE DEAMINASE) (SDH) (L-SD) ,12,12,True,-0.0009604144375823309,0.9964833860809493,-0.17528113852038457,0.29985332003047444,-0.25124123670087267,-0.25124123670087267,57.050000000000004,NE
Rv0070c,glyA2,PROBABLE SERINE HYDROXYMETHYLTRANSFERASE GLYA2 (SERINE METHYLASE 2) (SHMT 2) ,18,17,True,-0.08363191639323593,0.7155078486470277,-0.027297424401662253,0.8596337603816133,-0.5852634454364614,-0.5852634454364614,101.43333333333334,NE
Rv0071,-,POSSIBLE MATURASE ,9,8,True,0.04566542138157139,0.8930299993500849,0.2005005116019526,0.3042660463814189,-0.4027688304894006,-0.4027688304894006,90.17777777777779,NE
Rv0072,-,PROBABLE GLUTAMINE-TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER ,17,16,True,0.4504520082358023,0.028156186731025188,0.3646552002592859,0.006434916080998025,-0.41402086704960184,-0.41402086704960184,237.03529411764706,GA
Rv0073,-,PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER ,16,16,True,0.5884897089268132,0.004243651515230113,0.4583237432010748,0.0007642188155175065,-0.21213170290548714,-0.21213170290548714,204.93124999999998,GA
Rv0074,-,hypothetical protein Rv0074 ,20,20,True,0.25661412083158947,0.19843412136092073,0.41041875523656446,0.000748000110751941,-0.2677683503559885,-0.2677683503559885,107.99000000000001,GA
Rv0075,-,PROBABLE AMINOTRANSFERASE ,25,24,True,0.288992584844852,0.09919384260825255,0.26664060347902124,0.016628814786978172,-0.3323041357048309,-0.3323041357048309,135.072,GA
Rv0076c,-,PROBABLE MEMBRANE PROTEIN ,3,3,True,0.8789852556379268,0.07967622399085882,0.6006302480516688,0.06547991508928022,-0.0559824808874317,-0.0559824808874317,279.76666666666665,NE
Rv0077c,-,PROBABLE OXIDOREDUCTASE ,15,15,True,0.11879467494716017,0.6263003796558274,0.09944955921323444,0.526081510696396,-0.3265192422910306,-0.3265192422910306,89.72666666666667,NE
Rv0078,-,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN ,10,10,True,-0.41378155920651366,0.1383572359457424,-0.27908864291970353,0.12173569170626458,-0.333188070532763,-0.333188070532763,25.97,NE
Rv0078A,-,hypothetical protein Rv0078A ,10,10,True,0.43065504209009065,0.12061550078352196,0.3626495572993573,0.04136038252837093,-0.3416018371570585,-0.3416018371570585,191.64000000000001,GA
Rv0079,-,hypothetical protein Rv0079 ,14,14,True,0.3172999440607545,0.18174616577074376,0.24502226767156202,0.1070816173024689,-0.17119240051608942,-0.17119240051608942,99.53571428571426,NE
Rv0080,-,hypothetical protein Rv0080 ,5,5,True,0.06029011658269623,0.8940320477977357,0.25725154796278793,0.326523309468876,-0.3106749707225999,-0.3106749707225999,75.48,NE
Rv0081,-,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN ,6,6,True,0.49198465658688006,0.17523236708672585,0.40190314835963453,0.08188875591048021,-0.10285513142488756,-0.10285513142488756,127.46666666666665,NE
Rv0082,-,PROBABLE OXIDOREDUCTASE ,7,5,True,-0.5324956987060975,0.10832374955907875,-0.19966985716038796,0.37063655588317146,-0.626813000576856,-0.626813000576856,38.34285714285715,NE
Rv0083,-,PROBABLE OXIDOREDUCTASE ,23,21,True,0.16524082535560866,0.3866223431386172,0.1376128769301339,0.2572046806172225,-0.3039173821014868,-0.3039173821014868,94.90434782608696,NE
Rv0084,hycD,POSSIBLE FORMATE HYDROGENLYASE HYCD (FHL) ,9,8,True,-0.16436461021966703,0.6059241487479119,-0.14466562877573957,0.47073592013422827,-0.44603979736727717,-0.44603979736727717,60.888888888888886,NE
Rv0085,hycP,POSSIBLE HYDROGENASE HYCP ,4,4,True,-0.7091222762350932,0.10612178000553762,-0.5792809703943724,0.03924304984073646,-0.2936012474315989,-0.2936012474315989,11.525,GD
Rv0086,hycQ,POSSIBLE HYDROGENASE HYCQ ,15,14,True,-0.22095916875233884,0.3450897143071952,-0.12838692449104905,0.4019049243376112,-0.381045102890852,-0.381045102890852,45.873333333333335,NE
Rv0087,hycE,POSSIBLE FORMATE HYDROGENASE HYCE (FHL) ,26,22,True,-0.6633621605081722,1.505677178526818e-05,-0.5391819769778712,1.815109637140854e-07,-0.5338020773968445,-0.5338020773968445,22.45384615384615,GD
Rv0088,-,hypothetical protein Rv0088 ,14,13,True,-0.23493276160860108,0.3325394840015114,-0.17823102053215495,0.25105751631021317,-0.37918283006609543,-0.37918283006609543,44.192857142857136,NE
Rv0089,-,POSSIBLE METHYLTRANSFERASE/METHYLASE ,11,11,True,0.19172504994403827,0.49506328590721815,0.1167880028643345,0.5230978445494734,-0.16910632399850412,-0.16910632399850412,73.99999999999999,NE
Rv0090,-,POSSIBLE MEMBRANE PROTEIN ,12,12,True,0.43677466915576313,0.08184553990048121,0.2567424356272799,0.11847340798834975,-0.1915533666151409,-0.1915533666151409,137.59166666666667,NE
Rv0091,mtn,PROBABLE BIFUNCTIONAL MTA/SAH NUCLEOSIDASE MTN: 5'-METHYLTHIOADENOSINE NUCLEOSIDASE (METHYLTHIOADENOSINE METHYLTHIORIBOHYDROLASE) + S-ADENOSYLHOMOCYSTEINE NUCLEOSIDASE (S-ADENOSYL-L-HOMOCYSTEINE HOMOCYSTEINYLRIBOHYDROLASE) ,11,10,True,0.06553902375302963,0.8280759570635644,0.10970527941138651,0.5511154415950417,-0.5256005941602,-0.5256005941602,125.33636363636364,NE
Rv0092,ctpA,PROBABLE CATION TRANSPORTER P-TYPE ATPASE A CTPA ,29,25,True,-0.2530025772163233,0.1206135220762421,-0.11207844259169615,0.3029564051740694,-0.44054422480004146,-0.44054422480004146,48.76896551724137,NE
Rv0093c,-,PROBABLE CONSERVED MEMBRANE PROTEIN ,9,8,True,-0.30254091693327523,0.31435732765438734,-0.13840942196186826,0.4922364543565314,-0.37110489599064245,-0.37110489599064245,36.955555555555556,NE
Rv0094c,-,hypothetical protein Rv0094c ,14,14,True,0.484347963938293,0.0323420361254177,0.4943053837941729,0.0006795331277963797,-0.1295212571570204,-0.1295212571570204,133.1642857142857,GA
Rv0095c,-,hypothetical protein Rv0095c ,10,6,True,-0.8770306170096803,0.0005600403056718249,-0.5762314931709315,0.0008369478874474878,-0.6100036794609919,-0.6100036794609919,15.570000000000002,GD
Rv0096,PPE1,PPE FAMILY PROTEIN ,34,34,True,0.2065366693769926,0.17560977240407535,0.22209264603857334,0.02028140017053466,-0.3358317978722863,-0.3358317978722863,112.43823529411765,GA
Rv0097,-,POSSIBLE OXIDOREDUCTASE ,26,26,True,0.2786966406900456,0.10541950881357036,-0.008729196466186792,0.9477696112829979,-0.24501523494105584,-0.24501523494105584,107.86923076923075,NE
Rv0098,-,hypothetical protein Rv0098 ,12,11,True,-0.06321140165454714,0.8269799949131478,-0.17150425444711673,0.3111710777244936,-0.34809965594277525,-0.34809965594277525,61.63333333333333,NE
Rv0099,fadD10,acyl-CoA synthetase ,32,29,True,-0.4861810856463303,0.0006373170354523858,-0.4972731982105902,9.043912429672215e-08,-0.5145916660461728,-0.5145916660461728,33.128125,GD
Rv0100,-,hypothetical protein Rv0100 ,3,3,True,0.21603128051321172,0.6992934789028262,-0.11220827227162951,0.7603590546988188,-0.3375384888397187,-0.3375384888397187,115.39999999999999,NE
Rv0101,nrp,PROBABLE PEPTIDE SYNTHETASE NRP (PEPTIDE SYNTHASE) ,123,117,True,-0.10692412516330778,0.1831154451878887,-0.04362166881587326,0.416820682704614,-0.43961105364481323,-0.43961105364481323,68.67235772357724,NE
Rv0102,-,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN ,42,16,True,-1.6707485613172988,2.952020221934091e-51,-1.534984112145177,1.0591202311157508e-88,-0.8472208139683914,-0.8472208139683914,1.3714285714285714,GD
Rv0103c,ctpB,PROBABLE CATION-TRANSPORTER P-TYPE ATPASE B CTPB ,31,29,True,0.1661366037310783,0.30537886545116766,0.2210881106945599,0.02800366871631217,-0.4281486424019285,-0.4281486424019285,126.59677419354836,GA
Rv0104,-,hypothetical protein Rv0104 ,28,27,True,0.45321016394531594,0.003511503596544147,0.3631879330078221,0.00040389103690001367,-0.24033161094274594,-0.24033161094274594,159.91785714285714,GA
Rv0105c,rpmB,50S ribosomal protein L28 ,5,4,True,-0.1637220379624703,0.7056211551143132,-0.37958394472696727,0.13769934599393915,-0.6172050044057029,-0.6172050044057029,90.43999999999998,NE
Rv0106,-,hypothetical protein Rv0106 ,12,11,True,0.04680320090995079,0.8749586363374916,0.05702060451432085,0.7565844401933195,-0.3328182737238436,-0.3328182737238436,76.96666666666667,NE
Rv0107c,ctpI,PROBABLE CATION-TRANSPORTER ATPASE I CTPI ,66,58,True,-0.18443407024904865,0.08581634738054958,0.016728841027793966,0.8342496146044672,-0.5288480650030126,-0.5288480650030126,70.27575757575757,NE
Rv0108c,-,hypothetical protein Rv0108c ,2,2,True,0.6106674729914532,0.3415356192457253,0.7312782304293937,0.06666206821074833,-0.046315087235752964,-0.046315087235752964,147.25,NE
Rv0109,PE_PGRS1,PE-PGRS FAMILY PROTEIN ,28,24,True,-0.43361880037631556,0.0054897810354966915,0.06963722349076823,0.5458404520083066,-0.6686474072306521,-0.6686474072306521,53.61071428571427,NE
Rv0110,-,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN ,14,14,True,0.6096138753236033,0.0057706180512541545,0.3504814340095224,0.018783674764951932,-0.25871354168598326,-0.25871354168598326,239.54999999999998,GA
Rv0111,-,POSSIBLE TRANSMEMBRANE ACYLTRANSFERASE ,43,42,True,0.22972016212603527,0.08358928132792137,0.23781442674226475,0.004643285152775128,-0.29764413058642136,-0.29764413058642136,108.67441860465117,GA
Rv0112,gca,"POSSIBLE GDP-MANNOSE 4,6-DEHYDRATASE GCA (GDP-D-MANNOSE DEHYDRATASE) ",31,31,True,-0.3271023284013426,0.031604982415469086,-0.4927450725210812,2.0214383335309338e-07,-0.428744284283165,-0.428744284283165,39.80645161290323,GD
Rv0113,gmhA,PROBABLE SEDOHEPTULOSE-7-PHOSPHATE ISOMERASE GMHA (PHOSPHOHEPTOSE ISOMERASE) ,13,12,True,-0.5453283469471815,0.019471566366290594,-0.6676595162641074,6.748433173757341e-06,-0.39375606881465514,-0.39375606881465514,21.730769230769234,GD
Rv0114,gmhB,"POSSIBLE D-ALPHA,BETA-D-HEPTOSE-1,7-BIPHOSPHATE PHOSPHATASE GMHB (D-GLYCERO-D-MANNO-HEPTOSE 7-PHOSPHATE KINASE) ",10,10,True,0.5126904124238038,0.059120856143607285,0.2966007930959375,0.09893418530358924,-0.21462303407817176,-0.21462303407817176,172.97,NE
Rv0115,hddA,POSSIBLE D-ALPHA-D-HEPTOSE-7-PHOSPHATE KINASE HDDA ,18,18,True,0.36117361890308686,0.07726349590011572,0.4214951850795841,0.0010396667652472007,-0.29384431718489534,-0.29384431718489534,146.15555555555557,GA
Rv0116c,-,POSSIBLE CONSERVED MEMBRANE PROTEIN ,18,17,True,0.41120451919617246,0.04019274765795749,0.4356248172711931,0.0006925919487341277,-0.2962518512757724,-0.2962518512757724,165.03333333333333,GA
Rv0117,oxyS,OXIDATIVE STRESS RESPONSE REGULATORY PROTEIN OXYS ,17,16,True,-0.2008116253430554,0.3627525464255103,-0.19757067253937768,0.153995412505831,-0.4164920790326725,-0.4164920790326725,52.199999999999996,NE
Rv0118c,oxcA,putative oxalyl-CoA decarboxylase ,26,22,True,-0.5354982064765196,0.0007078899205572453,-0.6174934756240426,1.5297152994068622e-09,-0.6409024553093841,-0.6409024553093841,39.31923076923077,GD
Rv0119,fadD7,acyl-CoA synthetase ,14,12,True,-0.9253744746395958,8.74122285741161e-06,-0.7871926778265735,1.8811435867993418e-08,-0.3778254174965964,-0.3778254174965964,8.035714285714288,GD
Rv0120c,fusA2,elongation factor G ,28,24,True,-0.49600655633460944,0.0012007274211604166,-0.34280190859973697,0.0008822807482655297,-0.3973452121626085,-0.3973452121626085,24.696428571428573,GD
